,const,TELENOW_1,TELENOW_2,TELECOVID_1,TELECOVID_2,TELE2019_1,TELE2019_2,HRYEAR4,rank_16,rank_25,rank_100,PEHRUSLT
606,1.0,0,0,0,0,0,0,2019,0,1,0,40
607,1.0,0,0,0,0,0,0,2019,0,1,0,14
610,1.0,0,0,0,0,0,0,2019,0,1,0,25
612,1.0,0,0,0,0,0,0,2019,0,1,0,25
616,1.0,0,0,0,0,0,0,2019,0,1,0,40
617,1.0,0,0,0,0,0,0,2019,0,1,0,8
618,1.0,0,0,0,0,0,0,2019,1,0,0,35
619,1.0,0,0,0,0,0,0,2019,0,1,0,50
620,1.0,0,0,0,0,0,0,2019,0,1,0,2
622,1.0,0,0,0,0,0,0,2019,0,1,0,40
624,1.0,0,0,0,0,0,0,2019,0,1,0,40
628,1.0,0,0,0,0,0,0,2019,0,1,0,25
632,1.0,0,0,0,0,0,0,2019,0,1,0,43
633,1.0,0,0,0,0,0,0,2019,0,1,0,40
635,1.0,0,0,0,0,0,0,2019,0,1,0,40
636,1.0,0,0,0,0,0,0,2019,0,1,0,40
638,1.0,0,0,0,0,0,0,2019,0,0,1,30
640,1.0,0,0,0,0,0,0,2019,1,0,0,40
641,1.0,0,0,0,0,0,0,2019,0,1,0,3
642,1.0,0,0,0,0,0,0,2019,0,1,0,40
646,1.0,0,0,0,0,0,0,2019,0,1,0,40
649,1.0,0,0,0,0,0,0,2019,0,1,0,40
651,1.0,0,0,0,0,0,0,2019,0,1,0,60
652,1.0,0,0,0,0,0,0,2019,0,1,0,30
653,1.0,0,0,0,0,0,0,2019,0,1,0,30
655,1.0,0,0,0,0,0,0,2019,0,1,0,46
656,1.0,0,0,0,0,0,0,2019,0,1,0,40
661,1.0,0,0,0,0,0,0,2019,0,1,0,40
662,1.0,0,0,0,0,0,0,2019,0,1,0,40
663,1.0,0,0,0,0,0,0,2019,0,1,0,14
664,1.0,0,0,0,0,0,0,2019,0,1,0,40
666,1.0,0,0,0,0,0,0,2019,0,1,0,25
667,1.0,0,0,0,0,0,0,2019,0,1,0,27
670,1.0,0,0,0,0,0,0,2019,0,1,0,80
677,1.0,0,0,0,0,0,0,2019,0,1,0,40
678,1.0,0,0,0,0,0,0,2019,0,1,0,40
684,1.0,0,0,0,0,0,0,2019,0,1,0,40
686,1.0,0,0,0,0,0,0,2019,0,1,0,40
687,1.0,0,0,0,0,0,0,2019,0,1,0,40
689,1.0,0,0,0,0,0,0,2019,0,1,0,40
690,1.0,0,0,0,0,0,0,2019,0,1,0,40
693,1.0,0,0,0,0,0,0,2019,0,1,0,40
